Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15T07:35:09.000Z,DUYR,120L,Strada Țiglarilor,60,Sibiu,Romania
SB-25-SOM,2024-10-15T07:35:47.000Z,CAHMA5,120L,Strada Țiglarilor,64,Sibiu,Romania
SB-25-SOM,2024-10-15T07:36:33.000Z,CXDWRY,120L,Strada Țiglarilor,66,Sibiu,Romania
SB-25-SOM,2024-10-15T07:36:36.000Z,4BX3,120L,Strada Țiglarilor,66,Sibiu,Romania
SB-25-SOM,2024-10-15T07:37:09.000Z,D5Y7,120L,Strada Țiglarilor,75,Sibiu,Romania
SB-25-SOM,2024-10-15T07:37:11.000Z,B3ZB,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15T07:37:56.000Z,PVRAIY,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15T07:37:58.000Z,PVRAIY,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15T07:38:34.000Z,SGIW,120L,Strada Țiglarilor,79,Sibiu,Romania
SB-25-SOM,2024-10-15T07:38:39.000Z,2L6I,120L,Strada Țiglarilor,77,Sibiu,Romania
SB-25-SOM,2024-10-15T07:39:32.000Z,VIUB,120L,Strada Țiglarilor,76,Sibiu,Romania
SB-25-SOM,2024-10-15T07:39:50.000Z,LIEV,120L,Strada Țiglarilor,81 A,Sibiu,Romania
SB-25-SOM,2024-10-15T07:39:54.000Z,7KUU,120L,Strada Țiglarilor,76 A,Sibiu,Romania
SB-25-SOM,2024-10-15T07:40:18.000Z,YUUH,120L,Strada Țiglarilor,83,Sibiu,Romania
SB-25-SOM,2024-10-15T07:40:20.000Z,MX3D,120L,Strada Țiglarilor,78,Sibiu,Romania
SB-25-SOM,2024-10-15T07:41:07.000Z,TQZ2,120L,Strada Țiglarilor,83,Sibiu,Romania
SB-25-SOM,2024-10-15T07:42:00.000Z,4OBW,120L,Strada Dulgherilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T07:42:17.000Z,42E3,120L,Strada Dulgherilor,11,Sibiu,Romania
SB-25-SOM,2024-10-15T07:43:38.000Z,EHNR,120L,Strada Dulgherilor,18,Sibiu,Romania
SB-25-SOM,2024-10-15T07:46:45.000Z,6HTD,120L,Strada Țiglarilor,84,Sibiu,Romania
SB-25-SOM,2024-10-15T07:47:23.000Z,6IME,120L,Strada Țiglarilor,85,Sibiu,Romania
SB-25-SOM,2024-10-15T07:48:16.000Z,A2MK,240L,Strada Țiglarilor,89,Sibiu,Romania
SB-25-SOM,2024-10-15T07:48:40.000Z,74ZLG3,120L,Strada Țiglarilor,92,Sibiu,Romania
SB-25-SOM,2024-10-15T07:49:53.000Z,B3FI,120L,Strada Țiglarilor,95,Sibiu,Romania
SB-25-SOM,2024-10-15T07:50:50.000Z,FDSTRJ,120L,Strada Zidarilor,1,Sibiu,Romania
SB-25-SOM,2024-10-15T07:50:56.000Z,H7MM,120L,Strada Zidarilor,2,Sibiu,Romania
SB-25-SOM,2024-10-15T07:51:30.000Z,EUZU,120L,Strada Zidarilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T07:51:50.000Z,LQS7,120L,Strada Zidarilor,6,Sibiu,Romania
SB-25-SOM,2024-10-15T07:56:08.000Z,QOH2,120L,Strada Țiglarilor,106,Sibiu,Romania
SB-25-SOM,2024-10-15T07:57:43.000Z,C5MJN7,1.100L,Strada Țiglarilor,,Sibiu,Romania
SB-25-SOM,2024-10-15T07:58:43.000Z,7WIN,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15T07:58:46.000Z,LUKAU6,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15T07:59:13.000Z,7VCQ,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15T08:01:02.000Z,FOY2RW,240L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15T08:01:07.000Z,7T6P,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15T08:01:28.000Z,DL7T,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15T08:01:55.000Z,L4APOF,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15T08:04:16.000Z,7QZLCR,1.100L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15T08:05:04.000Z,CUGP,120L,Strada Țiglarilor,108,Sibiu,Romania
SB-25-SOM,2024-10-15T08:06:12.000Z,AWBU,120L,Strada Țiglarilor,110,Sibiu,Romania
SB-25-SOM,2024-10-15T08:06:57.000Z,LDNFET,240L,Strada Țiglarilor,105,Sibiu,Romania
SB-25-SOM,2024-10-15T08:07:34.000Z,5CNOGA,120L,Strada Țiglarilor,116,Sibiu,Romania
SB-25-SOM,2024-10-15T08:08:07.000Z,CMJT,120L,Strada Țiglarilor,118,Sibiu,Romania
SB-25-SOM,2024-10-15T08:08:20.000Z,VRJU,120L,Strada Țiglarilor,120,Sibiu,Romania
SB-25-SOM,2024-10-15T08:08:57.000Z,4YA6,120L,Strada Țiglarilor,122,Sibiu,Romania
SB-25-SOM,2024-10-15T08:09:32.000Z,MPB5UZ,120L,Strada Cuptorului,33 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:10:06.000Z,UJED,240L,Strada Țiglarilor,128 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:10:38.000Z,7GNE,120L,Strada Țiglarilor,111,Sibiu,Romania
SB-25-SOM,2024-10-15T08:16:37.000Z,7EKJ,120L,Strada Deventer,7,Sibiu,Romania
SB-25-SOM,2024-10-15T08:17:38.000Z,7AS6,120L,Strada Deventer,15,Sibiu,Romania
SB-25-SOM,2024-10-15T08:19:41.000Z,CQS7,120L,Strada Cuptorului,38,Sibiu,Romania
SB-25-SOM,2024-10-15T08:20:25.000Z,OTAV,120L,Strada Cuptorului,36,Sibiu,Romania
SB-25-SOM,2024-10-15T08:21:09.000Z,SBEF,120L,Strada Cuptorului,34,Sibiu,Romania
SB-25-SOM,2024-10-15T08:21:25.000Z,XAI5V2,120L,Strada Cuptorului,31,Sibiu,Romania
SB-25-SOM,2024-10-15T08:21:48.000Z,F6QH,120L,Strada Cuptorului,30,Sibiu,Romania
SB-25-SOM,2024-10-15T08:22:09.000Z,IYZ6,120L,Strada Cuptorului,29,Sibiu,Romania
SB-25-SOM,2024-10-15T08:22:16.000Z,UNYVJN,120L,Strada Cuptorului,26,Sibiu,Romania
SB-25-SOM,2024-10-15T08:23:20.000Z,R6JV,120L,Strada Cuptorului,25,Sibiu,Romania
SB-25-SOM,2024-10-15T08:23:47.000Z,63NT,120L,Strada Cuptorului,23,Sibiu,Romania
SB-25-SOM,2024-10-15T08:23:51.000Z,HQHV6X,120L,Strada Cuptorului,20,Sibiu,Romania
SB-25-SOM,2024-10-15T08:24:30.000Z,73TR,120L,Strada Cuptorului,19,Sibiu,Romania
SB-25-SOM,2024-10-15T08:25:38.000Z,C2ANBH,120L,Strada Cuptorului,14 B,Sibiu,Romania
SB-25-SOM,2024-10-15T08:27:11.000Z,,,,,Sibiu,Romania
SB-25-SOM,2024-10-15T08:27:33.000Z,TDTR,120L,Strada Cuptorului,13,Sibiu,Romania
SB-25-SOM,2024-10-15T08:28:06.000Z,E5AO,120L,Strada Cuptorului,14,Sibiu,Romania
SB-25-SOM,2024-10-15T08:29:03.000Z,NL5N,120L,Strada Cuptorului,1,Sibiu,Romania
SB-25-SOM,2024-10-15T08:29:45.000Z,ZJKN,120L,Strada Cuptorului,3,Sibiu,Romania
SB-25-SOM,2024-10-15T08:30:53.000Z,X2CB,120L,Strada Cuptorului,12,Sibiu,Romania
SB-25-SOM,2024-10-15T08:30:56.000Z,JICQOG,120L,Strada Cuptorului,7 G,Sibiu,Romania
SB-25-SOM,2024-10-15T08:31:30.000Z,GPHC,120L,Strada Cuptorului,10,Sibiu,Romania
SB-25-SOM,2024-10-15T08:36:36.000Z,2CB5UZ,1.100L,Strada Cuptorului,12 B,Sibiu,Romania
SB-25-SOM,2024-10-15T08:40:11.000Z,SQK2,120L,Strada Ulmului,62,Sibiu,Romania
SB-25-SOM,2024-10-15T08:40:37.000Z,5IM6RQ,120L,Strada Ulmului,60,Sibiu,Romania
SB-25-SOM,2024-10-15T08:40:58.000Z,EFXC,120L,Strada Ulmului,56,Sibiu,Romania
SB-25-SOM,2024-10-15T08:42:44.000Z,H7KEWX,120L,Strada Ulmului,35 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:43:00.000Z,AP3D,120L,Strada Ulmului,50 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:43:50.000Z,AFE3,120L,Strada Ulmului,50 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:44:37.000Z,IJBU,120L,Strada Ulmului,46,Sibiu,Romania
SB-25-SOM,2024-10-15T08:44:39.000Z,5HUB,120L,Strada Ulmului,46,Sibiu,Romania
SB-25-SOM,2024-10-15T08:45:21.000Z,P7QA,120L,Strada Ulmului,44,Sibiu,Romania
SB-25-SOM,2024-10-15T08:46:02.000Z,G4QPXW,120L,Strada Ulmului,27,Sibiu,Romania
SB-25-SOM,2024-10-15T08:46:14.000Z,WZLA,120L,Strada Ulmului,40,Sibiu,Romania
SB-25-SOM,2024-10-15T08:48:13.000Z,I6E5,120L,Strada Ulmului,34,Sibiu,Romania
SB-25-SOM,2024-10-15T08:48:55.000Z,MCE7DG,120L,Strada Ulmului,32,Sibiu,Romania
SB-25-SOM,2024-10-15T08:49:40.000Z,ORMMLR,120L,Strada Ulmului,25,Sibiu,Romania
SB-25-SOM,2024-10-15T08:50:02.000Z,7TCM,1.100L,Strada Ulmului,28,Sibiu,Romania
SB-25-SOM,2024-10-15T08:54:22.000Z,JBCWEX,120L,Strada Florilor,12 A,Sibiu,Romania
SB-25-SOM,2024-10-15T08:58:13.000Z,W6TD,120L,Strada Ulmului,1,Sibiu,Romania
SB-25-SOM,2024-10-15T08:58:46.000Z,QZOB,120L,Strada Ulmului,5,Sibiu,Romania
SB-25-SOM,2024-10-15T08:58:47.000Z,OC26,120L,Strada Ulmului,3,Sibiu,Romania
SB-25-SOM,2024-10-15T08:59:29.000Z,5SY7,120L,Strada Ulmului,9,Sibiu,Romania
SB-25-SOM,2024-10-15T09:00:00.000Z,H5RK,120L,Strada Ulmului,15,Sibiu,Romania
SB-25-SOM,2024-10-15T09:00:31.000Z,PSMN,120L,Strada Ulmului,14,Sibiu,Romania
SB-25-SOM,2024-10-15T09:01:07.000Z,GI3Z,120L,Strada Ulmului,18,Sibiu,Romania
SB-25-SOM,2024-10-15T09:01:25.000Z,UJ6YSF,120L,Strada Ulmului,21,Sibiu,Romania
SB-25-SOM,2024-10-15T09:01:45.000Z,EGF425,120L,Strada Record,37,Sibiu,Romania
SB-25-SOM,2024-10-15T09:02:29.000Z,6TZH,120L,Strada Record,26,Sibiu,Romania
SB-25-SOM,2024-10-15T09:05:12.000Z,7KJ2,120L,Strada Lacul lui Binder,4,Sibiu,Romania
SB-25-SOM,2024-10-15T09:05:24.000Z,KK4T,120L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15T09:06:40.000Z,SOROBW,120L,Strada Lacul lui Binder,5,Sibiu,Romania
SB-25-SOM,2024-10-15T09:07:10.000Z,LNWFHI,240L,Strada Lacul lui Binder,FN,Sibiu,Romania
SB-25-SOM,2024-10-15T09:09:44.000Z,VNCA,120L,Strada Lutului,76,Sibiu,Romania
SB-25-SOM,2024-10-15T09:09:59.000Z,UJDFJW,120L,Strada Lutului,74,Sibiu,Romania
SB-25-SOM,2024-10-15T09:10:26.000Z,46JF75,120L,Strada Lutului,60,Sibiu,Romania
SB-25-SOM,2024-10-15T09:11:46.000Z,T2X2,120L,Strada Lutului,58,Sibiu,Romania
SB-25-SOM,2024-10-15T09:12:15.000Z,43XG,120L,Strada Lutului,53,Sibiu,Romania
SB-25-SOM,2024-10-15T09:12:41.000Z,VYIT,120L,Strada Lutului,43 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:12:56.000Z,PIJZ,120L,Strada Lutului,48,Sibiu,Romania
SB-25-SOM,2024-10-15T09:13:32.000Z,,,,,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:01.000Z,B534,120L,Strada Lutului,40,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:02.000Z,RVU6,120L,Strada Lutului,35,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:29.000Z,4VYR,120L,Strada Lutului,36,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:32.000Z,SNVZ,120L,Strada Lutului,31,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:42.000Z,FFFY,120L,Strada Lutului,34,Sibiu,Romania
SB-25-SOM,2024-10-15T09:14:54.000Z,FN4Z,120L,Strada Lutului,29,Sibiu,Romania
SB-25-SOM,2024-10-15T09:15:12.000Z,YABH,120L,Strada Lutului,32,Sibiu,Romania
SB-25-SOM,2024-10-15T09:15:32.000Z,WV3D,120L,Strada Ulmului,21,Sibiu,Romania
SB-25-SOM,2024-10-15T09:16:13.000Z,N7YA,120L,Strada Lutului,22,Sibiu,Romania
SB-25-SOM,2024-10-15T09:16:15.000Z,XFJB4O,120L,Strada Lutului,17,Sibiu,Romania
SB-25-SOM,2024-10-15T09:16:47.000Z,NDM7,120L,Strada Lutului,14,Sibiu,Romania
SB-25-SOM,2024-10-15T09:17:11.000Z,AVVB,120L,Strada Lutului,8,Sibiu,Romania
SB-25-SOM,2024-10-15T09:18:59.000Z,YANR,120L,Strada Sperantei,5,Sibiu,Romania
SB-25-SOM,2024-10-15T09:20:35.000Z,KIKG,120L,Strada Carpaților,2,Sibiu,Romania
SB-25-SOM,2024-10-15T09:20:58.000Z,YIEA,120L,Strada Carpaților,3 B,Sibiu,Romania
SB-25-SOM,2024-10-15T09:21:29.000Z,DOAY,120L,Strada Carpaților,9,Sibiu,Romania
SB-25-SOM,2024-10-15T09:23:06.000Z,SDD4,120L,,,Sibiu,Romania
SB-25-SOM,2024-10-15T09:23:27.000Z,PWCW,120L,Strada Carpaților,15,Sibiu,Romania
SB-25-SOM,2024-10-15T09:23:49.000Z,BT77,120L,Strada Carpaților,17,Sibiu,Romania
SB-25-SOM,2024-10-15T09:23:55.000Z,OXYS,120L,Strada Carpaților,16 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:25:01.000Z,JCPQ,120L,Strada Carpaților,21,Sibiu,Romania
SB-25-SOM,2024-10-15T09:25:26.000Z,QE67,120L,Strada Carpaților,23,Sibiu,Romania
SB-25-SOM,2024-10-15T09:25:43.000Z,U6RM,120L,Strada Carpaților,25,Sibiu,Romania
SB-25-SOM,2024-10-15T09:26:12.000Z,C7GGQV,120L,Strada Carpaților,29,Sibiu,Romania
SB-25-SOM,2024-10-15T09:26:21.000Z,H644,120L,Strada Carpaților,28,Sibiu,Romania
SB-25-SOM,2024-10-15T09:26:47.000Z,R7PR,120L,Strada Carpaților,31,Sibiu,Romania
SB-25-SOM,2024-10-15T09:27:10.000Z,6LTW,120L,Strada Carpaților,33,Sibiu,Romania
SB-25-SOM,2024-10-15T09:28:16.000Z,SCSO,120L,Strada Margaretelor,41,Sibiu,Romania
SB-25-SOM,2024-10-15T09:28:46.000Z,LP4Y,120L,Strada Țiglarilor,39,Sibiu,Romania
SB-25-SOM,2024-10-15T09:29:11.000Z,6MZI,120L,Strada Țiglarilor,35 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:30:02.000Z,6LPK,120L,Strada Țiglarilor,33 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:30:40.000Z,F3DJ,120L,Strada Țiglarilor,25,Sibiu,Romania
SB-25-SOM,2024-10-15T09:30:51.000Z,K2PH,120L,Strada Țiglarilor,21,Sibiu,Romania
SB-25-SOM,2024-10-15T09:31:19.000Z,X5VJW2,120L,Strada Țiglarilor,25,Sibiu,Romania
SB-25-SOM,2024-10-15T09:32:07.000Z,MHKA,120L,Strada Țiglarilor,11,Sibiu,Romania
SB-25-SOM,2024-10-15T09:32:36.000Z,2ZO3T5,240L,Strada Țiglarilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T09:32:41.000Z,5SD4,120L,Strada Țiglarilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15T09:33:19.000Z,WXUT,120L,Strada Țiglarilor,3,Sibiu,Romania
SB-25-SOM,2024-10-15T09:33:43.000Z,6K5E,120L,Strada Țiglarilor,3 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:34:22.000Z,X6LQ,120L,Strada Lungă,53,Sibiu,Romania
SB-25-SOM,2024-10-15T09:35:02.000Z,FXZL,120L,Strada Lungă,47,Sibiu,Romania
SB-25-SOM,2024-10-15T09:36:06.000Z,LRDP,120L,Strada Lungă,37,Sibiu,Romania
SB-25-SOM,2024-10-15T09:36:21.000Z,6CJM,120L,Strada Lungă,35 C,Sibiu,Romania
SB-25-SOM,2024-10-15T09:36:25.000Z,6DTX,120L,Strada Lungă,35 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:37:16.000Z,UKOAXG,120L,Strada Lungă,35,Sibiu,Romania
SB-25-SOM,2024-10-15T09:37:21.000Z,FX6X,120L,Strada Lungă,35,Sibiu,Romania
SB-25-SOM,2024-10-15T09:37:57.000Z,WSNJB3,120L,Strada Lungă,35,Sibiu,Romania
SB-25-SOM,2024-10-15T09:38:00.000Z,JF43EY,120L,Strada Lungă,40,Sibiu,Romania
SB-25-SOM,2024-10-15T09:38:20.000Z,6WVIGL,120L,Strada Lungă,35,Sibiu,Romania
SB-25-SOM,2024-10-15T09:39:14.000Z,WQJ4,120L,Strada Lungă,31,Sibiu,Romania
SB-25-SOM,2024-10-15T09:39:17.000Z,FTXO,120L,Strada Lungă,31,Sibiu,Romania
SB-25-SOM,2024-10-15T09:39:50.000Z,2MCS,120L,Strada Lungă,29,Sibiu,Romania
SB-25-SOM,2024-10-15T09:41:47.000Z,3AFF,120L,Strada Lungă,17 A,Sibiu,Romania
SB-25-SOM,2024-10-15T09:42:58.000Z,IQXF,1.100L,Strada Lungă,9,Sibiu,Romania
SB-25-SOM,2024-10-15T09:43:53.000Z,7MWXQG,120L,Strada Lungă,,Sibiu,Romania
SB-25-SOM,2024-10-15T09:44:32.000Z,IATBI7,120L,Strada Lungă,7,Sibiu,Romania
SB-25-SOM,2024-10-15T09:44:34.000Z,BESN,120L,Strada Lungă,7,Sibiu,Romania
SB-25-SOM,2024-10-15T09:47:34.000Z,RRYH,120L,Strada Ion Luca Caragiale,1,Sibiu,Romania
SB-25-SOM,2024-10-15T09:47:58.000Z,G4N6,120L,Strada Ion Luca Caragiale,2,Sibiu,Romania
