Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15 11:12:13+00:00,OCKI,120L,Strada Simion Bărnuțiu,41,Sibiu,Romania
SB-25-SOM,2024-10-15 11:12:57+00:00,2BCN5D,120L,Strada Simion Bărnuțiu,38,Sibiu,Romania
SB-25-SOM,2024-10-15 11:13:25+00:00,PJW7,120L,Strada Simion Bărnuțiu,33,Sibiu,Romania
SB-25-SOM,2024-10-15 11:13:28+00:00,J2FI,120L,Strada Simion Bărnuțiu,31,Sibiu,Romania
SB-25-SOM,2024-10-15 11:13:53+00:00,6GHW,120L,Strada Simion Bărnuțiu,32,Sibiu,Romania
SB-25-SOM,2024-10-15 11:14:13+00:00,KFY4DZ,120L,Strada Viorelelor,26,Sibiu,Romania
SB-25-SOM,2024-10-15 11:14:15+00:00,LCPJ6E,120L,Strada Simion Bărnuțiu,30,Sibiu,Romania
SB-25-SOM,2024-10-15 11:14:39+00:00,GJZX,120L,Strada Simion Bărnuțiu,28,Sibiu,Romania
SB-25-SOM,2024-10-15 11:15:06+00:00,LZCS,120L,Strada Simion Bărnuțiu,25,Sibiu,Romania
SB-25-SOM,2024-10-15 11:15:50+00:00,JPRILB,120L,Strada Simion Bărnuțiu,23,Sibiu,Romania
SB-25-SOM,2024-10-15 11:16:42+00:00,N4WDNF,120L,Strada Simion Bărnuțiu,16,Sibiu,Romania
SB-25-SOM,2024-10-15 11:17:04+00:00,Z7IT,120L,Strada Simion Bărnuțiu,14,Sibiu,Romania
SB-25-SOM,2024-10-15 11:18:19+00:00,QFFS,120L,Strada Simion Bărnuțiu,2,Sibiu,Romania
SB-25-SOM,2024-10-15 11:18:47+00:00,FECC,120L,Strada Simion Bărnuțiu,1,Sibiu,Romania
SB-25-SOM,2024-10-15 11:19:16+00:00,F3G5,120L,Strada Simion Bărnuțiu,2 A,Sibiu,Romania
SB-25-SOM,2024-10-15 11:19:56+00:00,K6LO3M,240L,Simion Bărnuțiu,1 A,Sibiu,Romania
